Ward code,Wards (2018),Borough,year,children
E05000026,Abbey,Barking and Dagenham,2014,1090
E05000026,Abbey,Barking and Dagenham,2015,1119
E05000026,Abbey,Barking and Dagenham,2016,1306
E05000026,Abbey,Barking and Dagenham,2017,1417
E05000026,Abbey,Barking and Dagenham,2018,1466
E05000026,Abbey,Barking and Dagenham,2019,1631
E05000026,Abbey,Barking and Dagenham,2020,1448
E05000026,Abbey,Barking and Dagenham,2021,1314
E05000027,Alibon,Barking and Dagenham,2014,693
E05000027,Alibon,Barking and Dagenham,2015,725
E05000027,Alibon,Barking and Dagenham,2016,788
E05000027,Alibon,Barking and Dagenham,2017,845
E05000027,Alibon,Barking and Dagenham,2018,870
E05000027,Alibon,Barking and Dagenham,2019,925
E05000027,Alibon,Barking and Dagenham,2020,885
E05000027,Alibon,Barking and Dagenham,2021,809
E05000028,Becontree,Barking and Dagenham,2014,912
E05000028,Becontree,Barking and Dagenham,2015,1131
E05000028,Becontree,Barking and Dagenham,2016,1122
E05000028,Becontree,Barking and Dagenham,2017,1367
E05000028,Becontree,Barking and Dagenham,2018,1533
E05000028,Becontree,Barking and Dagenham,2019,1662
E05000028,Becontree,Barking and Dagenham,2020,1496
E05000028,Becontree,Barking and Dagenham,2021,1363
E05000029,Chadwell Heath,Barking and Dagenham,2014,648
E05000029,Chadwell Heath,Barking and Dagenham,2015,692
E05000029,Chadwell Heath,Barking and Dagenham,2016,787
E05000029,Chadwell Heath,Barking and Dagenham,2017,925
E05000029,Chadwell Heath,Barking and Dagenham,2018,882
E05000029,Chadwell Heath,Barking and Dagenham,2019,1015
E05000029,Chadwell Heath,Barking and Dagenham,2020,999
E05000029,Chadwell Heath,Barking and Dagenham,2021,822
E05000030,Eastbrook,Barking and Dagenham,2014,551
E05000030,Eastbrook,Barking and Dagenham,2015,635
E05000030,Eastbrook,Barking and Dagenham,2016,699
E05000030,Eastbrook,Barking and Dagenham,2017,704
E05000030,Eastbrook,Barking and Dagenham,2018,710
