date,Hires,schools_closed,pubs_closed,shops_closed,eating_places_closed,stay_at_home,household_mixing_indoors_banned,wfh,rule_of_6_indoors,curfew,eat_out_to_help_out,day,month,year
2010-07-30,6897,0,0,0,0,0,0,0,0,0,0,Fri,Jul,2010
2010-07-31,5564,0,0,0,0,0,0,0,0,0,0,Sat,Jul,2010
2010-08-01,4303,0,0,0,0,0,0,0,0,0,0,Sun,Aug,2010
2010-08-02,6642,0,0,0,0,0,0,0,0,0,0,Mon,Aug,2010
2010-08-03,7966,0,0,0,0,0,0,0,0,0,0,Tue,Aug,2010
2010-08-04,7893,0,0,0,0,0,0,0,0,0,0,Wed,Aug,2010
2010-08-05,8724,0,0,0,0,0,0,0,0,0,0,Thu,Aug,2010
2010-08-06,9797,0,0,0,0,0,0,0,0,0,0,Fri,Aug,2010
2010-08-07,6631,0,0,0,0,0,0,0,0,0,0,Sat,Aug,2010
2010-08-08,7864,0,0,0,0,0,0,0,0,0,0,Sun,Aug,2010
2010-08-09,6191,0,0,0,0,0,0,0,0,0,0,Mon,Aug,2010
2010-08-10,4802,0,0,0,0,0,0,0,0,0,0,Tue,Aug,2010
2010-08-11,14013,0,0,0,0,0,0,0,0,0,0,Wed,Aug,2010
2010-08-12,13080,0,0,0,0,0,0,0,0,0,0,Thu,Aug,2010
2010-08-13,12151,0,0,0,0,0,0,0,0,0,0,Fri,Aug,2010
2010-08-14,9195,0,0,0,0,0,0,0,0,0,0,Sat,Aug,2010
2010-08-15,10928,0,0,0,0,0,0,0,0,0,0,Sun,Aug,2010
2010-08-16,15384,0,0,0,0,0,0,0,0,0,0,Mon,Aug,2010
2010-08-17,15396,0,0,0,0,0,0,0,0,0,0,Tue,Aug,2010
2010-08-18,16062,0,0,0,0,0,0,0,0,0,0,Wed,Aug,2010
2010-08-19,17170,0,0,0,0,0,0,0,0,0,0,Thu,Aug,2010
2010-08-20,16462,0,0,0,0,0,0,0,0,0,0,Fri,Aug,2010
2010-08-21,11719,0,0,0,0,0,0,0,0,0,0,Sat,Aug,2010
2010-08-22,10129,0,0,0,0,0,0,0,0,0,0,Sun,Aug,2010
2010-08-23,12935,0,0,0,0,0,0,0,0,0,0,Mon,Aug,2010
