sold by,publisher.type,genre,avg.review,daily.sales,total.reviews,sale.price
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.5,84.39,151,5.12
HarperCollins Publishers,big five,YA_fiction,4.64,113.11,184,6.91
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,2.5,70.81,125,6.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.5,149.37,225,4.91
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.98,135.65,194,7.39
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.98,78.16,123,5.14
Random House LLC,big five,non_fiction,4.62,75.6,130,17.57
Simon and Schuster Digital Sales Inc,big five,non_fiction,3.5,62.32,110,14.7
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.64,94.64,129,11.69
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.56,70.45,119,17.1
Penguin Group (USA) LLC,big five,non_fiction,4.46,70.88,114,15.64
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.08,62.91,104,14.26
Hachette Book Group,big five,non_fiction,4.23,40.43,82,16.49
Macmillan,big five,YA_fiction,3.62,93.21,172,8.44
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.26,57.57,131,7.55
Simon and Schuster Digital Sales Inc,big five,YA_fiction,4.81,127.05,177,6.52
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.21,124.85,189,6.76
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.46,91.26,84,9.31
Macmillan,big five,adult_fiction,4.75,88.92,134,10.62
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.85,104.17,122,6.34
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.25,80.64,106,6.97
"Amazon Digital Services,  Inc.",indie,non_fiction,4.76,68.29,142,15.13
"Amazon Digital Services,  Inc.",small/medium,non_fiction,3.33,67.22,91,15.58
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.61,106.87,194,10.62
"Amazon Digital Services,  Inc.",single author,non_fiction,4.55,44.07,117,17.51
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.12,60.36,104,8.39
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.33,92.32,141,11.11
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.3,92.33,127,5.66
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.31,52.36,118,16.65
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.61,85.61,156,8.39
HarperCollins Publishers,big five,adult_fiction,3.68,104,145,8.84
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.86,169.25,195,6.39
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.98,85.9,154,5.23
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.48,115.35,187,10.43
"Amazon Digital Services,  Inc.",indie,non_fiction,3.69,49.11,100,14.44
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.83,60.67,87,9.72
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.58,68.09,112,9.13
Random House LLC,big five,adult_fiction,4.61,83.98,107,5.05
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.4,101.2,123,9.76
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.66,122.19,183,8.07
Random House LLC,big five,non_fiction,3.46,87.2,80,13.65
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.36,114.62,150,6.37
Penguin Group (USA) LLC,big five,YA_fiction,3.98,127.85,181,9.89
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.19,57.38,96,14.32
HarperCollins Publishers,big five,non_fiction,4.59,57.06,113,15.4
"Amazon Digital Services,  Inc.",indie,non_fiction,4.18,59.63,85,15.26
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,67.82,138,13.51
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.49,67.47,118,18.55
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.61,127.06,188,10.52
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.21,60.18,161,5.25
Random House LLC,big five,YA_fiction,4.52,115.09,199,6
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.9,94.68,128,10.29
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.88,84.71,95,6.37
Penguin Group (USA) LLC,big five,non_fiction,3.75,66.22,70,18.33
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.75,119.77,197,10.01
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.22,74.13,160,10.88
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.98,93.29,162,8.23
"Amazon Digital Services,  Inc.",indie,YA_fiction,3.72,103.84,175,5.91
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.44,103.28,124,8.44
Random House LLC,big five,adult_fiction,4.29,89.72,132,7.59
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.83,59.53,114,11.67
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.85,124.32,185,8.85
Random House LLC,big five,adult_fiction,3.57,106.47,116,8.28
"Amazon Digital Services,  Inc.",indie,non_fiction,4.56,43,78,14.63
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.78,168.77,171,4.67
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.29,26.79,66,14.73
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.84,76.33,114,7.33
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.3,76.43,106,6.88
"Amazon Digital Services,  Inc.",single author,non_fiction,4.09,58.82,94,14.86
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.19,72.09,92,15.32
Random House LLC,big five,non_fiction,4.52,78.35,132,13.91
Macmillan,big five,non_fiction,4.4,43.26,88,12.05
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.4,169.32,215,10.36
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.71,95.66,135,10.89
Simon and Schuster Digital Sales Inc,big five,adult_fiction,4.68,115.04,105,3.35
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3,91.89,179,7.84
Penguin Group (USA) LLC,big five,non_fiction,4.22,47.46,99,12.82
Random House LLC,big five,adult_fiction,4.45,89,147,4.64
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.42,79.83,122,9.02
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.66,88.65,176,8.09
"Amazon Digital Services,  Inc.",amazon,YA_fiction,4.77,64.11,172,8.36
Penguin Group (USA) LLC,big five,YA_fiction,4.32,160.08,176,4.93
"Amazon Digital Services,  Inc.",single author,adult_fiction,3.76,101.92,144,5.41
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.5,72.84,90,11.5
Random House LLC,big five,non_fiction,4.65,50.85,63,14.38
HarperCollins Publishers,big five,adult_fiction,4.49,101.41,136,8.24
"Amazon Digital Services,  Inc.",single author,non_fiction,4.59,52.17,108,15.21
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.31,72.46,169,8.46
HarperCollins Publishers,big five,adult_fiction,4.77,91.11,137,8.19
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.11,87.32,218,9.25
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,3.75,64.19,175,7.09
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.35,99.47,121,7.92
Simon and Schuster Digital Sales Inc,big five,non_fiction,4.76,82.33,118,13.99
Random House LLC,big five,YA_fiction,3.57,72.06,150,11.98
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.34,117.01,181,6.99
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.18,88.1,132,9.33
"Amazon Digital Services,  Inc.",single author,non_fiction,4.09,79.05,91,12.53
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,3.76,63.1,125,7.04
"Amazon Digital Services,  Inc.",indie,adult_fiction,4.42,98.14,126,9.13
Random House LLC,big five,adult_fiction,4.64,96.74,129,7.02
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.39,81.89,149,7.35
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.91,146.06,152,7.5
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.77,66.05,124,10.92
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.66,65.56,71,14.14
"Amazon Digital Services,  Inc.",single author,adult_fiction,4.49,102.03,139,8.27
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.98,109.72,184,7.15
"Amazon Digital Services,  Inc.",small/medium,YA_fiction,4.5,138.14,171,8.35
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.61,81.7,116,5.05
Penguin Group (USA) LLC,big five,YA_fiction,4.26,115.81,162,10.64
HarperCollins Publishers,big five,non_fiction,4.66,49.62,91,15.17
HarperCollins Publishers,big five,YA_fiction,4.75,102.71,189,10.63
Penguin Group (USA) LLC,big five,adult_fiction,4.96,156.78,159,7.27
"Amazon Digital Services,  Inc.",small/medium,non_fiction,4.16,68.51,90,13.18
"Amazon Digital Services,  Inc.",indie,adult_fiction,3.92,108.1,172,3.96
"Amazon Digital Services,  Inc.",indie,YA_fiction,4.18,158.26,185,3.41
"Amazon Digital Services,  Inc.",single author,YA_fiction,3.99,169.74,173,7.84
Macmillan,big five,non_fiction,4.85,68.04,100,14.91
"Amazon Digital Services,  Inc.",single author,YA_fiction,2,91.62,200,4.68
"Amazon Digital Services,  Inc.",small/medium,adult_fiction,4.52,85.73,136,9.49
Random House LLC,big five,non_fiction,4.17,61.63,115,16.36
"Amazon Digital Services,  Inc.",single author,YA_fiction,4.74,143.56,185,6.95
"Amazon Digital Services,  Inc.",amazon,non_fiction,3.98,56.46,85,14.79
"Amazon Digital Services,  Inc.",indie,non_fiction,4.65,73.9,83,13.01
